run,applicationCompletionTime,x1,x2,x3,datasize,nContainers
32.000000,28.483518,1.446779,2.638224,5.917898,24.000000,0.000000
33.000000,36.886442,3.926439,-0.653614,6.977338,26.000000,0.000000
34.000000,-10.484721,-1.178997,0.205506,6.453851,28.000000,0.000000
35.000000,20.270615,2.209503,-0.023782,4.851779,30.000000,0.000000
36.000000,-3.776332,0.991377,-2.728696,5.696169,32.000000,0.000000
37.000000,21.786911,-0.893108,5.978629,7.602272,34.000000,0.000000
38.000000,30.394297,-2.166772,10.492973,7.386832,36.000000,0.000000
39.000000,53.649250,-0.341533,11.165420,5.219288,38.000000,0.000000
40.000000,152.208487,3.309207,23.569042,6.254860,40.000000,0.000000
41.000000,-33.086137,0.862317,-8.289894,6.321126,2.000000,0.000000
42.000000,57.920907,1.665217,8.613586,4.875212,4.000000,0.000000
43.000000,0.145948,-3.185514,6.447948,6.488659,6.000000,0.000000
44.000000,-62.665437,-0.842466,-10.888608,5.954876,8.000000,0.000000
45.000000,-23.277035,-2.123425,-0.647228,5.554492,10.000000,0.000000
46.000000,22.757848,0.374241,3.898380,5.979213,12.000000,0.000000
47.000000,12.860249,-0.330754,3.052254,4.770822,14.000000,0.000000
48.000000,120.669216,3.489036,17.184268,7.600633,16.000000,0.000000
49.000000,22.048768,0.014157,4.124193,6.502453,18.000000,0.000000
50.000000,-6.379470,-2.129176,3.205675,7.240097,20.000000,0.000000
51.000000,24.038455,-0.669657,6.066471,5.188130,22.000000,0.000000
52.000000,137.037397,2.796489,21.896357,8.433276,24.000000,0.000000
53.000000,71.359326,3.219969,7.779149,5.573252,26.000000,0.000000
54.000000,107.163648,3.688546,13.753049,5.496488,28.000000,0.000000
55.000000,80.544877,1.068949,14.132395,8.124608,30.000000,0.000000
56.000000,91.319284,3.465378,11.118095,6.020259,32.000000,0.000000
57.000000,44.573302,-0.378081,9.588624,6.238793,34.000000,0.000000
58.000000,41.460242,1.079173,6.389931,6.803608,36.000000,0.000000
59.000000,65.929020,0.528899,12.339274,5.840853,38.000000,0.000000
60.000000,48.387529,-2.674445,15.135241,5.653504,40.000000,0.000000
61.000000,-14.056614,-0.183907,-2.256295,5.484684,2.000000,0.000000
62.000000,47.794590,-1.284823,12.108040,7.029407,4.000000,0.000000
63.000000,55.685523,1.325905,8.503945,5.821556,6.000000,0.000000
64.000000,95.775285,2.201557,14.629436,7.338403,8.000000,0.000000
65.000000,33.792248,-1.218614,9.258108,4.478646,10.000000,0.000000
66.000000,23.044462,0.564196,3.401264,4.639035,12.000000,0.000000
67.000000,-39.580061,-0.501332,-6.828302,6.791094,14.000000,0.000000
68.000000,112.951231,4.387702,14.021433,3.789365,16.000000,0.000000
69.000000,66.993184,0.856073,11.737137,6.922324,18.000000,0.000000
70.000000,24.410988,-1.481933,7.781245,4.631202,20.000000,0.000000
71.000000,-68.200040,-1.936347,-9.293740,5.783948,22.000000,0.000000
72.000000,29.834952,-1.404364,8.914423,5.745857,24.000000,0.000000
73.000000,63.901659,-1.897775,16.503312,5.626311,26.000000,0.000000
74.000000,-31.633672,-2.327874,-1.557525,6.596816,28.000000,0.000000
75.000000,9.315783,-3.015403,7.674147,7.928136,30.000000,0.000000
76.000000,-28.359322,-0.350131,-5.294756,6.389521,32.000000,0.000000
77.000000,31.830909,2.667562,0.947910,6.333997,34.000000,0.000000
78.000000,-18.282087,1.092059,-5.928608,5.884094,36.000000,0.000000
79.000000,-28.820520,2.440905,-10.612939,7.909891,38.000000,0.000000
80.000000,57.679239,0.947768,9.777500,6.004106,40.000000,0.000000
81.000000,48.256148,2.774809,3.855783,6.049743,2.000000,0.000000
82.000000,67.711437,3.219779,7.172500,6.601841,4.000000,0.000000
83.000000,44.179289,0.982419,7.130869,6.452919,6.000000,0.000000
84.000000,23.904371,1.374088,2.035668,5.322739,8.000000,0.000000
85.000000,1.994083,0.303806,-0.298086,5.970822,10.000000,0.000000
86.000000,36.948704,-0.386623,8.138019,5.948450,12.000000,0.000000
87.000000,-15.970513,0.127749,-3.409692,5.406493,14.000000,0.000000
88.000000,94.788007,0.372565,18.180095,5.503481,16.000000,0.000000
89.000000,-13.243053,0.818088,-4.276322,5.507423,18.000000,0.000000
90.000000,37.627402,1.056776,4.944499,5.726511,20.000000,0.000000
91.000000,82.286903,-0.566897,17.704299,6.166176,22.000000,0.000000
92.000000,59.363609,3.856638,4.176699,6.307772,24.000000,0.000000
93.000000,82.075574,1.753634,12.700253,5.531278,26.000000,0.000000
94.000000,62.151008,1.448363,9.735677,6.305231,28.000000,0.000000
95.000000,-7.518383,1.242755,-4.232043,5.402071,30.000000,0.000000
96.000000,29.362903,3.220889,-0.474981,5.727107,32.000000,0.000000
97.000000,-21.607218,1.735717,-7.525768,6.244875,34.000000,0.000000
98.000000,-31.781129,0.413054,-7.407947,6.380163,36.000000,0.000000
99.000000,69.216671,0.502850,12.860752,6.025918,38.000000,0.000000
100.000000,56.801904,2.293330,6.675179,4.673265,40.000000,0.000000
